Name,Path,Status,Cohort,Cohort_Copy,Year
"""Buscall - An application that passengers can download to their smartphones.  A passenger that wants to go on a certain bus, will signal the bus on the app.  The app will send the signal to the relevant bus and inform the driver that there’s a passenger awaiting.""",The KICKSTARTER,Denied,7th,7,2022
Dia-bes,The KICKSTARTER,Denied,7th,7,2022
Skils,The KICKSTARTER,Denied,7th,7,2022
ORO,The KICKSTARTER,Denied,7th,7,2022
GOTIT,The KICKSTARTER,Opted Out,7th,7,2022
taloza store,The KICKSTARTER,Opted Out,7th,7,2022
Optimizing Doctor Appointments,The KICKSTARTER,Opted Out,7th,7,2022
BugAI,The KICKSTARTER,Opted Out,7th,7,2022
Tinder for swapping items - Aunty,The KICKSTARTER,Invested,7th,7,2022
חזותית,The KICKSTARTER,Denied,7th,7,2022
it doesn't have a name yet,The KICKSTARTER,Denied,7th,7,2022
DV,The KICKSTARTER,Opted Out,7th,7,2022
TheraPlay,The LAUNCHER,Denied,7th,7,2022
Hubrary,The LAUNCHER,Second Follow-Up,7th,7,2022
Color Comparison between two objects - The ZikoScope,The LAUNCHER,Denied,7th,7,2022
Click Delivery,The LAUNCHER,Denied,7th,7,2022
M-adas,The LAUNCHER,Denied,7th,7,2022
virtual school,The LAUNCHER,Denied,7th,7,2022
AI Trainer,The LAUNCHER,Denied,7th,7,2022
PrepMe,The LAUNCHER,Denied,7th,7,2022
myDojo,The LAUNCHER,Denied,7th,7,2022
Sportii,The LAUNCHER,Denied,7th,7,2022
Havaya חוויה,The LAUNCHER,Denied,7th,7,2022
Ozen Kashevet,The LAUNCHER,Denied,7th,7,2022
LoBigDeal,The LAUNCHER,Denied,7th,7,2022
Tango,The LAUNCHER,Denied,7th,7,2022
פריצת גבולות,The LAUNCHER,Denied,7th,7,2022
Street pro,The LAUNCHER,Denied,7th,7,2022
Boobies,The LAUNCHER,Invested,7th,7,2022
EduVision,The LAUNCHER,Denied,7th,7,2022
Mind Trainer,The LAUNCHER,Denied,7th,7,2022
Alon,The LAUNCHER,Denied,7th,7,2022
Israspa,The LAUNCHER,Denied,7th,7,2022
Skua.ai,The LAUNCHER,Opted Out,7th,7,2022
Accelerating Machine Learning for the IoT Market,The LAUNCHER,Denied,7th,7,2022
CloseCard,The KICKSTARTER,Opted Out,8th,8,2022
floating glasses sleeve ,The KICKSTARTER,Opted Out,8th,8,2022
Echo Rogue,The KICKSTARTER,Denied,8th,8,2022
Colorfly,The KICKSTARTER,Opted Out,8th,8,2022
coffee front,The KICKSTARTER,Opted Out,8th,8,2022
Challenge Accepted,The KICKSTARTER,Opted Out,8th,8,2022
Eco dynamic,The KICKSTARTER,Denied,8th,8,2022
UNIMAP,The KICKSTARTER,Denied,8th,8,2022
Green Africa,The KICKSTARTER,Denied,8th,8,2022
STURKIT,The KICKSTARTER,Live Pitch Event,8th,8,2022
Toparking,The KICKSTARTER,Live Pitch Event,8th,8,2022
Peazy.com,The KICKSTARTER,Opted Out,8th,8,2022
neuro+,The KICKSTARTER,Denied,8th,8,2022
Orgenize your cooking,The KICKSTARTER,Opted Out,8th,8,2022
active tour (temporary name),The KICKSTARTER,Opted Out,8th,8,2022
Gama,The KICKSTARTER,Opted Out,8th,8,2022
Co-Beauty,The KICKSTARTER,Denied,8th,8,2022
it still doesnt have a name... :),The KICKSTARTER,Denied,8th,8,2022
i.vus,The KICKSTARTER,Opted Out,8th,8,2022
SeguronZone,The KICKSTARTER,Denied,8th,8,2022
Roommatch,The KICKSTARTER,Denied,8th,8,2022
FACilNUEVO,The KICKSTARTER,Opted Out,8th,8,2022
Publish or Publish,The KICKSTARTER,Opted Out,8th,8,2022
Yob,The KICKSTARTER,Denied,8th,8,2022
rapid biodegradable toilet papers,The KICKSTARTER,Denied,8th,8,2022
EndOFTraffic,The KICKSTARTER,Opted Out,8th,8,2022
Wolp,The KICKSTARTER,Opted Out,8th,8,2022
EcoAc,The KICKSTARTER,Opted Out,8th,8,2022
i - Therapy,The KICKSTARTER,Denied,8th,8,2022
SunCar,The KICKSTARTER,Denied,8th,8,2022
Tmed,The KICKSTARTER,Opted Out,8th,8,2022
MangaRead,The KICKSTARTER,Invested,8th,8,2022
no name yet,The KICKSTARTER,Opted Out,8th,8,2022
EasyCare,The KICKSTARTER,Opted Out,8th,8,2022
Indonesia Israel Center,The KICKSTARTER,Opted Out,8th,8,2022
IntelliTennis,The KICKSTARTER,Invested,8th,8,2022
toqa,The KICKSTARTER,Opted Out,8th,8,2022
ChangeIT,The KICKSTARTER,Live Pitch Event,8th,8,2022
Application to sell clothes secondhand (all over Israel),The KICKSTARTER,Opted Out,8th,8,2022
TeachMe,The KICKSTARTER,Denied,8th,8,2022
SwapIt,The KICKSTARTER,Live Pitch Event,8th,8,2022
InSolution,The LAUNCHER,Denied,8th,8,2022
ElectroBlock,The LAUNCHER,Denied,8th,8,2022
AI Shortcut,The LAUNCHER,Invested,8th,8,2022
Nitro-gen,The LAUNCHER,IC But Not Invested,8th,8,2022
TPIM- text protection in motion,The LAUNCHER,Opted Out,8th,8,2022
MonkeyGunz,The LAUNCHER,Denied,8th,8,2022
Gotcha,The LAUNCHER,Opted Out,8th,8,2022
Get Expert,The LAUNCHER,Denied,8th,8,2022
Genesis AI,The LAUNCHER,Opted Out,8th,8,2022
Shake it,The LAUNCHER,IC But Not Invested,8th,8,2022
Togather,The LAUNCHER,Denied,8th,8,2022
Fantasticode,The LAUNCHER,Denied,8th,8,2022
Consciousness index,The LAUNCHER,Relocated to oasis,8th,8,2022
Wood tech,The LAUNCHER,Denied,8th,8,2022
Maxovary,The LAUNCHER,Invested,8th,8,2022
End-To-End Web Platform for ECG Short Strips Tracking and Interpretation,The LAUNCHER,Denied,8th,8,2022
Two ideas:1- virtuals school app  ased on 3 min videos for learning2:streamer with built in camera to help elder people communicate through tv,The LAUNCHER,Denied,8th,8,2022
Sentimedia.io,The LAUNCHER,Invested,8th,8,2022
ZENAT,The LAUNCHER,Opted Out,8th,8,2022
Kasset,The KICKSTARTER,Opted Out,9th,9,2023
MyceliaWay,The KICKSTARTER,Opted Out,9th,9,2023
Lifesaver Bracelet ,The KICKSTARTER,Denied,9th,9,2023
SocialOrder,The KICKSTARTER,Denied,9th,9,2023
smart basketball,The KICKSTARTER,Opted Out,9th,9,2023
Lebsh,The KICKSTARTER,Denied,9th,9,2023
BizBloom,The KICKSTARTER,Live Pitch Event,9th,9,2023
soilio,The KICKSTARTER,Denied,9th,9,2023
Amenoti,The KICKSTARTER,Denied,9th,9,2023
foodata,The KICKSTARTER,Denied,9th,9,2023
לפתור את בעיית ההתמכרות בכל סוג,The KICKSTARTER,Denied,9th,9,2023
A system for monitoring and analyzing people's profiles for psychological treatment appropriate to their data,The KICKSTARTER,Opted Out,9th,9,2023
Avatar Bill,The KICKSTARTER,Invested,9th,9,2023
The Priest,The KICKSTARTER,Denied,9th,9,2023
Enty,The KICKSTARTER,Live Pitch Event,9th,9,2023
Cpp,The KICKSTARTER,Denied,9th,9,2023
workit,The KICKSTARTER,Denied,9th,9,2023
BuildShield,The KICKSTARTER,Denied,9th,9,2023
Mashcantas,The KICKSTARTER,Denied,9th,9,2023
Remora,The KICKSTARTER,Denied,9th,9,2023
Aspectral,The KICKSTARTER,Denied,9th,9,2023
vacation planner based on AI,The KICKSTARTER,Denied,9th,9,2023
Pop Star,The KICKSTARTER,Opted Out,9th,9,2023
automatic judge,The KICKSTARTER,Denied,9th,9,2023
איפה אפי,The KICKSTARTER,Denied,9th,9,2023
Partya,The KICKSTARTER,Denied,9th,9,2023
no final name currently,The KICKSTARTER,Denied,9th,9,2023
TALENTIT,The KICKSTARTER,Denied,9th,9,2023
Application for reporting available parking spaces,The KICKSTARTER,Opted Out,9th,9,2023
Sensora,The KICKSTARTER,Denied,9th,9,2023
a web platform dedicated to podcasts,The KICKSTARTER,Denied,9th,9,2023
MilliCare,The KICKSTARTER,Live Pitch Event,9th,9,2023
Smart home supply management and monitoring,The KICKSTARTER,Denied,9th,9,2023
manager,The KICKSTARTER,Denied,9th,9,2023
Smart refrige,The KICKSTARTER,Denied,9th,9,2023
attachable modular wheelchair accessories,The KICKSTARTER,Live Pitch Event,9th,9,2023
Louder,The KICKSTARTER,Opted Out,9th,9,2023
Mommy,The KICKSTARTER,Opted Out,9th,9,2023
Thunder.Health,The KICKSTARTER,Denied,9th,9,2023
i - Therapy,The KICKSTARTER,Denied,9th,9,2023
Dit by nosolo,The KICKSTARTER,Denied,9th,9,2023
i.vus,The KICKSTARTER,Invested,9th,9,2023
Goaly,The LAUNCHER,Denied,9th,9,2023
Coddy,The LAUNCHER,IC But Not Invested,9th,9,2023
Miss Moving On,The LAUNCHER,Denied,9th,9,2023
Acoustic Device,The LAUNCHER,Opted Out,9th,9,2023
GlaucoMonitor,The LAUNCHER,Opted Out,9th,9,2023
Hear Clear,The LAUNCHER,IC But Not Invested,9th,9,2023
MagneTube (a medical products),The LAUNCHER,IC But Not Invested,9th,9,2023
ShoppyFit,The LAUNCHER,Opted Out,9th,9,2023
Implanted Syringe,The LAUNCHER,Denied,9th,9,2023
Groupi,The LAUNCHER,Denied,9th,9,2023
Breaking Boundaries,The LAUNCHER,Denied,9th,9,2023
SecondFirst,The LAUNCHER,Denied,9th,9,2023
Dive log app,The LAUNCHER,Denied,9th,9,2023
An Implanted Syringe,The LAUNCHER,Denied,9th,9,2023
ElectriWall,The LAUNCHER,Denied,9th,9,2023
ECHO,The KICKSTARTER,Denied,10th,10,2023
ChikChat,The KICKSTARTER,Opted Out,10th,10,2023
Bonobo,The KICKSTARTER,Denied,10th,10,2023
Customized Podcast,The KICKSTARTER,Live Pitch Event,10th,10,2023
IdeaCenter,The KICKSTARTER,Denied,10th,10,2023
ECHO,The KICKSTARTER,Denied,10th,10,2023
DIP,The KICKSTARTER,Invested,10th,10,2023
MingleMarkets,The KICKSTARTER,Denied,10th,10,2023
sensors box,The KICKSTARTER,Opted Out,10th,10,2023
Bang your head,The KICKSTARTER,Opted Out,10th,10,2023
Groops,The KICKSTARTER,Opted Out,10th,10,2023
Toilet seat lifter,The KICKSTARTER,Opted Out,10th,10,2023
Double date app,The KICKSTARTER,Denied,10th,10,2023
 AI Chatbot Assistant,The KICKSTARTER,Opted Out,10th,10,2023
bioreactor optimization,The KICKSTARTER,Live Pitch Event,10th,10,2023
HairU,The KICKSTARTER,Denied,10th,10,2023
Infolin,The KICKSTARTER,Invested,10th,10,2023
youth connectube,The KICKSTARTER,Denied,10th,10,2023
AI traveling agent,The KICKSTARTER,Opted Out,10th,10,2023
The DocMapper,The KICKSTARTER,Denied,10th,10,2023
Charge4car,The KICKSTARTER,Opted Out,10th,10,2023
Toilet cleaner,The KICKSTARTER,Opted Out,10th,10,2023
Ventim,The KICKSTARTER,Denied,10th,10,2023
HealthSync - Personalized Health Monitoring,The KICKSTARTER,Denied,10th,10,2023
ANY,The KICKSTARTER,Opted Out,10th,10,2023
